k,method,rank,mean_f1
2,fasttext_pretrained,1,0.6964
2,fasttext_pretrained,2,0.6964
2,fasttext_pretrained,3,0.6964
2,w2v_self,4,0.6917
2,w2v_self,5,0.6917
2,w2v_self,6,0.6917
2,fasttext_pretrained,7,0.6822
2,fasttext_pretrained,8,0.6822
2,w2v_pretrained,9,0.675
2,w2v_pretrained,10,0.675
2,w2v_pretrained,11,0.675
2,glove_pretrained,12,0.6553
2,w2v_pretrained,13,0.6507
2,w2v_pretrained,14,0.6507
2,fasttext_pretrained,15,0.6408
2,fasttext_pretrained,16,0.6408
2,bge,17,0.6327
2,bge,18,0.6327
2,bge,19,0.6327
2,w2v_pretrained,20,0.6269
2,w2v_pretrained,21,0.6269
2,e5,22,0.6241
2,e5,23,0.6241
2,e5,24,0.6241
2,e5,25,0.6214
2,e5,26,0.6214
2,e5,27,0.6214
2,mpnet,28,0.6208
2,mpnet,29,0.6208
2,mpnet,30,0.6208
2,sroberta,31,0.6188
2,sroberta,32,0.6188
2,sroberta,33,0.6188
2,gte,34,0.6188
2,gte,35,0.6188
2,gte,36,0.6188
2,minilm,37,0.6185
2,minilm,38,0.6185
2,minilm,39,0.6185
2,instructor,40,0.6169
2,instructor,41,0.6169
2,instructor,42,0.6169
2,minilm,43,0.6169
2,mpnet,44,0.6169
2,minilm,45,0.6169
2,mpnet,46,0.6169
2,minilm,47,0.6169
2,mpnet,48,0.6169
2,gte,49,0.6165
2,gte,50,0.6165
2,gte,51,0.6165
2,e5,52,0.6152
2,e5,53,0.6152
2,e5,54,0.6152
2,e5,55,0.615
2,e5,56,0.615
2,e5,57,0.615
2,gte,58,0.6131
2,gte,59,0.6131
2,gte,60,0.6131
2,glove_pretrained,61,0.6119
2,glove_pretrained,62,0.6119
2,glove_pretrained,63,0.6119
2,bge,64,0.611
2,bge,65,0.611
2,bge,66,0.611
2,instructor,67,0.6093
2,instructor,68,0.6093
2,instructor,69,0.6093
2,minilm,70,0.6074
2,minilm,71,0.6074
2,minilm,72,0.6074
2,w2v_self,73,0.607
2,w2v_self,74,0.607
2,w2v_self,75,0.607
2,w2v_self,76,0.6068
2,w2v_self,77,0.6068
2,w2v_self,78,0.6068
2,sbert,79,0.6052
2,sbert,80,0.6052
2,sbert,81,0.6052
2,bge,82,0.6033
2,bge,83,0.6033
2,bge,84,0.6033
2,gte,85,0.6021
2,gte,86,0.6021
2,gte,87,0.6021
2,mpnet,88,0.6017
2,mpnet,89,0.6017
2,mpnet,90,0.6017
2,instructor,91,0.5998
2,instructor,92,0.5998
2,instructor,93,0.5998
2,instructor,94,0.5997
2,sroberta,95,0.5997
2,instructor,96,0.5997
2,instructor,97,0.5997
2,sroberta,98,0.5997
2,sroberta,99,0.5997
2,minilm,100,0.5996
2,minilm,101,0.5996
2,minilm,102,0.5996
2,sroberta,103,0.5959
2,sroberta,104,0.5959
2,sroberta,105,0.5959
2,sroberta,106,0.5908
2,sroberta,107,0.5908
2,sroberta,108,0.5908
2,sbert,109,0.5901
2,e5,110,0.5901
2,e5,111,0.5901
2,sbert,112,0.5901
2,e5,113,0.5901
2,sbert,114,0.5901
2,sbert,115,0.5869
2,sbert,116,0.5869
2,sbert,117,0.5869
2,sbert,118,0.5861
2,sbert,119,0.5861
2,sbert,120,0.5861
2,gte,121,0.5843
2,gte,122,0.5843
2,gte,123,0.5843
2,glove_pretrained,124,0.5838
2,glove_pretrained,125,0.5838
2,glove_pretrained,126,0.5838
2,bge,127,0.5764
2,bge,128,0.5764
2,bge,129,0.5764
2,mpnet,130,0.5723
2,mpnet,131,0.5723
2,mpnet,132,0.5723
2,sbert,133,0.4369
2,sbert,134,0.4369
2,fasttext_pretrained,135,0.4321
2,fasttext_pretrained,136,0.4321
2,fasttext_pretrained,137,0.4321
2,w2v_pretrained,138,0.4282
2,w2v_pretrained,139,0.4282
2,w2v_pretrained,140,0.4282
2,sbert,141,0.4243
2,sroberta,142,0.3848
2,sroberta,143,0.3848
2,sroberta,144,0.3848
2,w2v_pretrained,145,0.3781
2,w2v_pretrained,146,0.3781
2,w2v_pretrained,147,0.3781
2,w2v_pretrained,148,0.295
2,fasttext_pretrained,149,0.2862
2,w2v_pretrained,150,0.2852
2,fasttext_pretrained,151,0.2762
2,glove_pretrained,152,0.2709
2,glove_pretrained,153,0.2709
